"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",NA,NA,NA,0,0.0326928053108887,6,1.01786562001294,1
"regionSouth",NA,NA,NA,0,0.0864205228580486,1,0.879720250465621,2
"inflation",1,6.12814477397446e-49,1,1,0.0589184973915985,2,0.698165318801829,3
"start_month",1,1.18710421919329e-10,3,1,0.0314039866441054,7,0.672645060843834,4
"end_month",NA,NA,NA,0,0.028068853965484,8,0.432695866842918,5
"regionMidwest",1,1.1996980495471e-09,4,1,0.0409181026197393,5,0.373202680469752,6
"total_damage_adjusted",NA,NA,NA,0,0.0226219604804304,10,0.360078079525286,7
"pre_shock_price",1,1.90224178173127e-06,6,1,0.0165841005312877,11,0.343700815601985,8
"GDPCA",NA,NA,NA,0,0.0445393319875011,3,0.279318953049535,9
"regionWest",NA,NA,NA,0,0.0249458498235102,9,0.191143675159132,10
"cash_and_equivalents",NA,NA,NA,0,0.00734490058123212,13,0.184893286138486,11
"Net.Income",NA,NA,NA,0,0.00556026520217339,20,0.165165715793981,12
"operating_income_loss",NA,NA,NA,0,0.00586793175592409,17,0.123158261800332,13
"EBITDA.margin",NA,NA,NA,0,0.00449477774783638,26,0.122461811715378,14
"disaster_year",1,3.86114241073758e-32,2,1,0.0415027094942539,4,0.111899499673238,15
"Net.debt",NA,NA,NA,0,0.00589062079164571,16,0.104695142735878,16
"Liquidity.ratio",NA,NA,NA,0,0.00496190862593129,23,0.099315287592278,17
"Number.of.employees",NA,NA,NA,0,0.00657694957340606,14,0.0981618705611325,18
"Cash.flow...Operating.revenue",NA,NA,NA,0,0.00442252407881543,27,0.0959550079335349,19
"Net.inventory",NA,NA,NA,0,0.00547938042005341,21,0.0910475095594128,20
"Total.cash...short.term.investments",NA,NA,NA,0,0.00474853910567307,24,0.0891077594024163,21
"operating_cash_flow",NA,NA,NA,0,0.00456046891999627,25,0.0868910348291911,22
"stockholders_equity",NA,NA,NA,0,0.00562367007470827,19,0.0830343932291708,23
"assets",NA,NA,NA,0,0.0061663160341879,15,0.0825492917413983,24
"revenue",NA,NA,NA,0,0.00574370036104865,18,0.0821561080210425,25
"assets_current",NA,NA,NA,0,0.00520819785832164,22,0.0816479775014771,26
"regionNortheast",1,1.35583707522533e-06,5,1,0.0157291396951709,12,0.0527145066839675,27
