"Model","Feature","RF_SHAP","RF_SHAP_Rank"
"Random Forest","regionSouth",0.0864205228580486,1
"Random Forest","inflation",0.0589184973915985,2
"Random Forest","GDPCA",0.0445393319875011,3
"Random Forest","disaster_year",0.0415027094942539,4
"Random Forest","regionMidwest",0.0409181026197393,5
"Random Forest","duration",0.0326928053108887,6
"Random Forest","start_month",0.0314039866441054,7
"Random Forest","end_month",0.028068853965484,8
"Random Forest","regionWest",0.0249458498235102,9
"Random Forest","total_damage_adjusted",0.0226219604804304,10
"Random Forest","pre_shock_price",0.0165841005312877,11
"Random Forest","regionNortheast",0.0157291396951709,12
"Random Forest","cash_and_equivalents",0.00734490058123212,13
"Random Forest","Number.of.employees",0.00657694957340606,14
"Random Forest","assets",0.0061663160341879,15
"Random Forest","Net.debt",0.00589062079164571,16
"Random Forest","operating_income_loss",0.00586793175592409,17
"Random Forest","revenue",0.00574370036104865,18
"Random Forest","stockholders_equity",0.00562367007470827,19
"Random Forest","Net.Income",0.00556026520217339,20
"Random Forest","Net.inventory",0.00547938042005341,21
"Random Forest","assets_current",0.00520819785832164,22
"Random Forest","Liquidity.ratio",0.00496190862593129,23
"Random Forest","Total.cash...short.term.investments",0.00474853910567307,24
"Random Forest","operating_cash_flow",0.00456046891999627,25
"Random Forest","EBITDA.margin",0.00449477774783638,26
"Random Forest","Cash.flow...Operating.revenue",0.00442252407881543,27
