"Model","Feature","XGB_SHAP","XGB_SHAP_Rank"
"XGBoost","duration",1.17915645455739,1
"XGBoost","regionSouth",0.905608722876599,2
"XGBoost","inflation",0.588471996133872,3
"XGBoost","end_month",0.57593997033502,4
"XGBoost","start_month",0.498562457692872,5
"XGBoost","total_damage_adjusted",0.318753329977034,6
"XGBoost","regionMidwest",0.27426313793346,7
"XGBoost","pre_shock_price",0.267248106362642,8
"XGBoost","GDPCA",0.24906858617423,9
"XGBoost","regionWest",0.142427391131585,10
"XGBoost","cash_and_equivalents",0.139700397898523,11
"XGBoost","disaster_year",0.108592688159988,12
"XGBoost","EBITDA.margin",0.10823177574581,13
"XGBoost","Number.of.employees",0.107961536444292,14
"XGBoost","assets",0.0985105874687512,15
"XGBoost","Total.cash...short.term.investments",0.093696898501189,16
"XGBoost","Net.debt",0.0927358642454284,17
"XGBoost","Net.inventory",0.0926330406394009,18
"XGBoost","Net.Income",0.092486894222759,19
"XGBoost","Liquidity.ratio",0.0882212703406069,20
"XGBoost","revenue",0.0803831842165011,21
"XGBoost","operating_cash_flow",0.0796729801511695,22
"XGBoost","stockholders_equity",0.0752960017910594,23
"XGBoost","operating_income_loss",0.0718093681224609,24
"XGBoost","assets_current",0.0675470973951401,25
"XGBoost","Cash.flow...Operating.revenue",0.0669280273452486,26
"XGBoost","regionNortheast",0.0549751818984604,27
